year,Frankrijk,Spanje,Duitsland,Belgi&euml;,Nederland,Oostenrijk,Itali&euml;,U.K.,Tsjechi&euml;,Denemarken
2006,77.92,58,23.57,7,10.47,20.27,41.06,30.65,6.44,9.63
2007,80.85,58.67,24.42,7.05,11.01,20.77,43.65,30.87,6.68,9.83
2008,79.22,57.19,24.88,7.17,10.1,21.94,42.73,30.14,6.65,9.56
2009,76.76,52.18,24.22,6.82,9.92,21.36,43.24,28.2,6.03,9.27
2010,76.65,52.68,26.88,7.19,10.88,22,43.63,28.3,6.33,9.43
2011,80.5,56.18,28.37,7.49,11.3,23.01,46.12,29.31,6.72,8.47
2012,81.98,57.46,30.41,7.56,11.68,24.15,46.36,29.28,7.65,8.44
2013,83.63,60.68,31.55,7.68,12.78,24.81,47.7,31.06,7.85,8.56
2014,83.7,64.94,33,7.89,13.93,25.29,48.58,32.61,8.1,10.27
2015,84.45,68.18,34.97,8.36,15.01,26.73,50.73,34.44,8.71,10.42
2016,82.57,75.32,35.56,7.48,15.83,28.12,52.37,35.81,9.32,10.78
